,sequence_names,true_vals,pred_vals,Fold
0,>CHR9:19793156-19793356,-0.359230626058147,-0.33328402,0
1,>CHR1:1127175-1127375,-0.23751371784949,-0.24077801,0
2,>CHR10:66555776-66555976,-0.558811259433325,-0.3164515,0
3,>CHR5:101279566-101279766,0.294197508263848,0.23836078,0
4,>CHR16:20054175-20054375,0.398126342337322,-0.18126948,0
5,>CHR3:133618246-133618446,0.101237196592089,-0.12910263,0
6,>CHR7:68357296-68357496,-0.0850230511100788,-0.33331314,0
7,>CHR7:30291635-30291835,-0.118351391926253,-0.5052031,0
8,>CHR17:45630776-45630976,0.239079025418635,-0.27223754,0
9,>CHRX:86957716-86957916,-0.180790477905627,-0.21660945,0
10,>CHR6:36518515-36518715,-0.226584588435473,-0.59467137,0
11,>CHR4:70790116-70790316,0.207505300377451,-0.013535757,0
12,>CHR17:21431016-21431216,0.290706083432265,-0.33341435,0
13,>CHR20:52415655-52415855,-0.424924436792957,-0.31078324,0
14,>CHR5:159428020-159428220,-0.55717666900918,-0.38355997,0
15,>CHR12:70548955-70549155,0.0224391144185581,-0.44645637,0
16,>CHR2:186815336-186815536,-0.167068352612288,0.02719159,0
17,>CHR11:110292455-110292655,-0.205953659077054,-0.2441246,0
18,>CHR19:45238276-45238476,-0.000494256831544272,-0.09478663,0
19,>CHR1:200799605-200799805,-0.0375311830244584,-0.30667305,0
20,>CHR11:18617016-18617216,0.267216794469804,0.101844445,0
21,>CHR12:127685466-127685666,-0.256020700559324,-0.24614643,0
22,>CHR12:98704816-98705016,0.581341626299475,-0.20768163,0
23,>CHR8:10709235-10709435,0.351538217663212,0.013133597,0
24,>CHR9:125404596-125404796,-0.81445971174952,0.029053997,0
25,>CHR8:81080805-81081005,0.0845589992715876,-0.5660279,0
26,>CHR11:85336295-85336495,-0.505915268541799,-0.39303905,0
27,>CHR6:140977016-140977216,-0.167520783288368,0.04485066,0
28,>CHR9:137764615-137764815,-0.329333996439249,-0.214563,0
29,>CHR19:352035-352235,-0.240950209695245,-0.22324832,0
30,>CHR2:86898826-86899026,1.23898655667085,-0.08744319,0
31,>CHR12:19581236-19581436,-0.0452878427774699,-0.023775805,0
32,>CHR15:22681935-22682135,-0.0619691453474704,-0.3227826,0
33,>CHRX:99979625-99979825,-0.0155441393336681,-0.13567306,0
34,>CHR18:11757860-11758060,1.33279748874795,0.027481329,0
35,>CHR10:21527936-21528136,0.0440873438360197,-0.55998164,0
36,>CHR5:2011695-2011895,0.555455938108718,-0.05506997,0
37,>CHR7:134157315-134157515,-0.0869688959677976,-0.51329255,0
38,>CHR1:67979496-67979696,0.11855584037297,0.11425747,0
39,>CHR19:35908215-35908415,0.364469581442238,0.084084764,0
40,>CHR7:135977135-135977335,-0.171001828615755,-0.73292273,0
41,>CHR8:109212696-109212896,-0.5425191552598,-0.34496745,0
42,>CHR12:19135696-19135896,-0.373411242971182,-0.27131027,0
43,>CHR6:106677946-106678146,-0.571012596644492,-0.23313476,0
44,>CHR6:20729386-20729586,-0.182147142700454,-0.28797486,0
45,>CHR7:64610335-64610535,-0.00420406132847806,-0.22017024,0
46,>CHR21:26087496-26087696,-0.39714166180657,-0.13918908,0
47,>CHR2:78544856-78545056,-0.388707923132091,-0.09519313,0
48,>CHR17:56282166-56282366,0.0352202309392287,-0.29938385,0
49,>CHR8:6192395-6192595,0.272069651002944,-0.10009281,0
50,>CHR19:28913035-28913235,0.211787125788016,-0.17388831,0
51,>CHR10:135463175-135463375,-0.473697242038489,-0.36643803,0
52,>CHR8:124541715-124541915,-0.878220579563524,-0.006765414,0
53,>CHR7:155717096-155717296,0.0807701008487095,0.1867151,0
54,>CHR2:236179695-236179895,0.726225285401485,-0.42966628,0
55,>CHR3:183562456-183562656,0.343454408260544,-0.1482672,0
56,>CHR6:157044735-157044935,0.168067309295598,-0.48787192,0
57,>CHR3:177170255-177170455,-0.246033105576773,-0.16332744,0
58,>CHR6:52826836-52827036,-0.208123959506826,-0.3360742,0
59,>CHR15:31178096-31178296,-0.647702494514023,-0.8500052,0
60,>CHR1:54469175-54469375,0.246066697384921,-0.45952922,0
61,>CHR8:88983956-88984156,0.737866752155768,0.20236376,0
62,>CHR8:68971555-68971755,-0.37793491875198,-0.414162,0
63,>CHR6:106137376-106137576,0.440955655210415,-0.12613778,0
64,>CHR1:180957645-180957845,-0.147681832435538,-0.16404663,0
65,>CHR3:137879626-137879826,0.917660008804425,-0.0035181232,0
66,>CHR17:4582920-4583120,-0.128582473573951,-0.2701165,0
67,>CHR12:69127465-69127665,0.642023101804925,-0.24217243,0
68,>CHR9:86059095-86059295,-0.0719920945873847,-0.4007718,0
69,>CHR3:33740915-33741115,-0.547620145531645,-0.5342147,0
70,>CHR1:40302575-40302775,-1.35188484605236,-0.030379314,0
71,>CHR19:58153376-58153576,-0.542593229882102,-0.2325013,0
72,>CHR19:1547506-1547706,-0.272674220251754,-0.11996339,0
73,>CHR2:171472615-171472815,-0.359923082241977,-0.3850736,0
74,>CHR17:57070858-57071058,-0.291162155858559,0.03750984,0
75,>CHR21:48095896-48096096,-0.285891763188798,-0.14632775,0
76,>CHR6:90235555-90235755,0.749687967774631,-0.34049493,0
77,>CHR4:70305736-70305936,0.222389605357707,0.09594475,0
78,>CHR16:27467035-27467235,0.234571937502544,0.13055587,0
79,>CHR7:3174366-3174566,0.72614972590136,-0.07593615,0
80,>CHR12:106768916-106769116,-0.00379945145713761,-0.27412474,0
81,>CHR11:43780576-43780776,-0.808532286684298,-0.36320284,0
82,>CHR11:97331236-97331436,-0.0530488786382145,0.000180047,0
83,>CHR20:13326876-13327076,0.489847441585438,-0.1776164,0
84,>CHR11:114433876-114434076,1.47209482505033,-0.26043501,0
85,>CHR20:33516176-33516376,0.0549944937804438,-0.12791817,0
86,>CHR1:187235296-187235496,0.053812716433796,-0.30513403,0
87,>CHR1:54207755-54207955,0.110328899495471,-0.051824052,0
88,>CHR17:3614355-3614555,-0.0468983954862969,-0.14317177,0
89,>CHR2:182808935-182809135,-0.304401573647621,-0.38791528,0
90,>CHR13:112723480-112723680,-0.0563452648307458,-0.18350141,0
91,>CHR6:7281975-7282175,-0.31534128480815,-0.29208276,0
92,>CHR20:52350655-52350855,-0.208771399186912,0.10757445,0
93,>CHR17:525716-525916,0.113614387150743,-0.2937984,0
94,>CHR16:33404440-33404640,-0.33738998629482,-0.035866488,0
95,>CHR5:88783856-88784056,-0.515371807157829,-0.46470317,0
96,>CHR2:26603135-26603335,-0.0280751795049096,-0.6950544,0
97,>CHR20:37521245-37521445,-0.375322670331714,-0.20814915,0
98,>CHR4:97362066-97362266,0.192240522662824,-0.1610625,0
99,>CHR1:36584455-36584655,0.127886352624615,-0.07982223,0
100,>CHR18:48426116-48426316,-0.495929513230981,-0.22847445,0
101,>CHR20:56067996-56068196,-0.662513879325826,-0.16631739,0
102,>CHR15:42525395-42525595,0.130638509803451,-0.42223892,0
103,>CHR4:19230286-19230486,-0.165676146456762,-0.64612705,0
104,>CHR17:63538775-63538975,-0.286680228835968,0.10505898,0
105,>CHR12:69985555-69985755,0.184858579329726,-0.8269376,0
106,>CHR8:52688496-52688696,-0.399128360851565,-0.32212794,0
107,>CHR9:120821896-120822096,-1.15909730070983,-0.3540043,0
108,>CHR9:36585076-36585276,0.249910613287236,-0.25123474,0
109,>CHR2:12996935-12997135,-0.119261531941341,-0.041347075,0
110,>CHR22:23846716-23846916,0.0910789028419285,-0.13049532,0
111,>CHR6:169890475-169890675,0.336830854571518,-0.1250227,0
112,>CHR16:20034626-20034826,-0.943145474388548,-0.3564618,0
113,>CHR19:6795956-6796156,0.21992772449748,-0.18498506,0
114,>CHR8:98690726-98690926,-2.80179753420606,-2.0549347,0
115,>CHR3:160359576-160359776,0.191363505016606,-0.33871362,0
116,>CHR2:124468836-124469036,-0.0423293825765758,-0.13460077,0
117,>CHR20:22772635-22772835,-0.155199634970646,-0.1515146,0
118,>CHR5:108202676-108202876,-0.420780980134826,-0.14330186,0
119,>CHR19:5156196-5156396,-0.155139302563674,0.09185995,0
120,>CHR10:15416235-15416435,-0.0971237469251483,0.039007884,0
121,>CHR7:21408016-21408216,-0.851556123034182,-0.21975233,0
122,>CHR1:59920896-59921096,-0.39951563568987,-0.42307615,0
123,>CHR16:29285676-29285876,-0.108861290404192,-0.55554056,0
124,>CHR1:115245455-115245655,-0.212622800592588,-0.5799425,0
125,>CHR16:50073955-50074155,-0.233341483111499,-0.091642246,0
126,>CHR1:200770715-200770915,-0.0192951856600429,-0.2085868,0
127,>CHR9:137764416-137764616,-0.0278607952438918,-0.33568028,0
128,>CHR5:37515555-37515755,-0.330638931090246,-0.3606754,0
129,>CHR15:60313996-60314196,0.203360574205148,-0.13030149,0
130,>CHR1:15812115-15812315,-0.163995272707904,-0.14897431,0
131,>CHR6:151805215-151805415,-0.155080300739908,-0.3527442,0
132,>CHR3:165927576-165927776,-0.208375690593001,-0.68863,0
133,>CHR12:25941715-25941915,-0.114525398428929,0.12498276,0
134,>CHR17:13485276-13485476,-0.507085092863187,-0.24059765,0
135,>CHR19:55695166-55695366,0.377811462423003,-0.13309033,0
136,>CHR1:149745676-149745876,-0.67977460892249,0.0826181,0
137,>CHR21:37478555-37478755,-0.432007350094953,-0.16792916,0
138,>CHR1:52348995-52349195,-0.339322702858251,-0.19231181,0
139,>CHR1:9175695-9175895,-0.310027338120441,-0.5601656,0
140,>CHR6:27420295-27420495,-0.63105935356228,-0.4580535,0
141,>CHR6:29443015-29443215,-0.0046465680053779,-0.039858032,0
142,>CHR1:105934536-105934736,-0.689349018389856,-0.14066474,0
143,>CHR2:83266636-83266836,0.731026071997852,-0.3731986,0
144,>CHR2:175831395-175831595,-0.433892174622274,-0.26349503,0
145,>CHR14:78311135-78311335,0.0584437911638232,-0.25414485,0
146,>CHR1:7587355-7587555,-1.33307349941188,-0.24002522,0
147,>CHR1:5611515-5611715,0.174456232786964,-0.31683,0
148,>CHR3:117575326-117575526,0.986279827477771,-0.19030727,0
149,>CHR12:83313636-83313836,0.0910935370047185,-0.38888678,0
150,>CHR5:23527696-23527896,0.687874873206239,-0.056697685,0
151,>CHR8:16486076-16486276,0.0121045619239455,-0.17498492,0
152,>CHR6:41338335-41338535,-0.296429827631001,-0.08327718,0
153,>CHR6:157971195-157971395,-0.425704932526921,-0.047663648,0
154,>CHR17:49248596-49248796,-0.330860986094957,-0.33568648,0
155,>CHR8:59355446-59355646,-0.154674841271701,-0.24515401,0
156,>CHR21:25597826-25598026,0.373992428410379,-0.48608118,0
157,>CHR10:66390395-66390595,-0.234687089077408,-0.28490096,0
158,>CHR7:64725575-64725775,-0.287309557249915,-0.17980863,0
159,>CHR7:95803216-95803416,0.312625463949102,-0.010846723,0
160,>CHR1:235793635-235793835,0.084004897391089,-0.1399541,0
161,>CHR2:188627995-188628195,-0.128980814086823,-0.29427132,0
162,>CHR15:23232615-23232815,0.255817056563426,-0.10435183,0
163,>CHR12:113388215-113388415,-0.0374028423433189,-0.1519892,0
164,>CHR5:29935576-29935776,-0.771006458656326,-0.4479805,0
165,>CHR1:202399335-202399535,-0.208483299943423,-0.7329675,0
166,>CHR6:83988656-83988856,-0.12118720490948,-0.048051942,0
167,>CHR5:80587636-80587836,-0.657327183429484,-0.6130918,0
168,>CHR19:56600320-56600520,-0.120382663987731,0.39842227,0
169,>CHR9:101581115-101581315,-0.00138679828134183,-0.13512503,0
170,>CHR11:18411725-18411925,0.281035702599613,-0.64632976,0
171,>CHR1:100439076-100439276,-0.126924919931867,-0.45613804,0
172,>CHR1:21551136-21551336,-0.559179490175428,-0.051620204,0
