,Fold,R2,Spearman,Loss
0,0,-3.1846096515655518,0.039418380707502365,161.28900146484375
1,1,-3.147878885269165,0.030615082010626793,166.3955841064453
2,All folds,-3.1662442684173584,0.03501673135906458,None
